scale_label,official_id,query_name,run_phase,candidate_count,global_best_candidate_id,global_best_g_class,global_best_group,global_best_p95_latency_ms,activated_best_candidate_id,activated_best_g_class,activated_best_group,activated_best_p95_latency_ms,activated_regret,primary_best_candidate_id,primary_best_g_class,primary_best_p95_latency_ms,primary_regret,secondary_best_candidate_id,secondary_best_g_class,secondary_best_p95_latency_ms,control_best_candidate_id,control_best_g_class,control_best_p95_latency_ms,activated_top1_preserved,primary_top1_preserved
sf0.1,INS8,INS8_AddFriendship,hot,2,ldbc_snb_ins8_g0_2acc6939,G0,primary,0.5134835140779612,ldbc_snb_ins8_g0_2acc6939,G0,primary,0.5134835140779612,0.0,ldbc_snb_ins8_g0_2acc6939,G0,0.5134835140779612,0.0,,,,,,,True,True
sf0.1,IS1,IS1_ProfileOfPerson,cold,2,ldbc_snb_is1_g3_6c817501,G3,primary,0.4201219417154789,ldbc_snb_is1_g3_6c817501,G3,primary,0.4201219417154789,0.0,ldbc_snb_is1_g3_6c817501,G3,0.4201219417154789,0.0,,,,,,,True,True
sf0.1,IS1,IS1_ProfileOfPerson,hot,2,ldbc_snb_is1_g3_6c817501,G3,primary,0.3323353128507733,ldbc_snb_is1_g3_6c817501,G3,primary,0.3323353128507733,0.0,ldbc_snb_is1_g3_6c817501,G3,0.3323353128507733,0.0,,,,,,,True,True
sf0.1,IS2,IS2_RecentMessagesOfPerson,cold,6,ldbc_snb_is2_g6_7253ed90,G6,secondary_affected,2.17913796659559,ldbc_snb_is2_g6_7253ed90,G6,secondary_affected,2.17913796659559,0.0,,,,,ldbc_snb_is2_g6_7253ed90,G6,2.17913796659559,,,,True,False
sf0.1,IS2,IS2_RecentMessagesOfPerson,hot,6,ldbc_snb_is2_g9_b1df45f6,G9,secondary_affected,1.3761401642113915,ldbc_snb_is2_g9_b1df45f6,G9,secondary_affected,1.3761401642113915,0.0,,,,,ldbc_snb_is2_g9_b1df45f6,G9,1.3761401642113915,,,,True,False
sf0.1,IS3,IS3_FriendsOfPerson,cold,2,ldbc_snb_is3_g3_ebc00ba6,G3,primary,0.4440906690433621,ldbc_snb_is3_g3_ebc00ba6,G3,primary,0.4440906690433621,0.0,ldbc_snb_is3_g3_ebc00ba6,G3,0.4440906690433621,0.0,,,,,,,True,True
sf0.1,IS3,IS3_FriendsOfPerson,hot,2,ldbc_snb_is3_g3_ebc00ba6,G3,primary,0.7041530450806022,ldbc_snb_is3_g3_ebc00ba6,G3,primary,0.7041530450806022,0.0,ldbc_snb_is3_g3_ebc00ba6,G3,0.7041530450806022,0.0,,,,,,,True,True
sf0.1,IS4,IS4_ContentOfMessage,cold,2,ldbc_snb_is4_g0_103e0c60,G0,control,93.44935531262308,ldbc_snb_is4_g1_c923c633,G1,primary,111.33325283881274,0.19137529056633215,ldbc_snb_is4_g1_c923c633,G1,111.33325283881274,0.19137529056633215,,,,ldbc_snb_is4_g0_103e0c60,G0,93.44935531262308,False,False
sf0.1,IS4,IS4_ContentOfMessage,hot,2,ldbc_snb_is4_g0_103e0c60,G0,control,93.52295123972,ldbc_snb_is4_g1_c923c633,G1,primary,93.53430944029242,0.00012144826934837949,ldbc_snb_is4_g1_c923c633,G1,93.53430944029242,0.00012144826934837949,,,,ldbc_snb_is4_g0_103e0c60,G0,93.52295123972,False,False
sf0.1,IS5,IS5_CreatorOfMessage,cold,2,ldbc_snb_is5_g3_f332352f,G3,primary,0.8785155368968843,ldbc_snb_is5_g3_f332352f,G3,primary,0.8785155368968843,0.0,ldbc_snb_is5_g3_f332352f,G3,0.8785155368968843,0.0,,,,,,,True,True
