scale_label,official_id,query_name,candidate_id_benchmark,g_class,benchmark_group,p95_latency_ms,avg_latency_ms,component_count,total_docs_examined,total_keys_examined,total_n_returned,total_execution_time_millis,has_IXSCAN,has_COLLSCAN,has_FETCH,has_SORT,has_LOOKUP,has_GROUP,has_UNWIND,used_disk_any,stage_list,index_names,collection_names
sf1,IC4,IC4_NewTopics,ldbc_snb_ic4_g3_00df9f3e,G3,primary,61.061802972108126,45.14852222055197,5.0,2067.0,2079.0,46.0,9.0,True,False,True,True,False,False,False,False,DB|EQ|EXPRESS_IXSCAN|FETCH|IN|IXSCAN|LIMIT|SORT,creation_date_1|creator_person_id_1|person1_id_1|person2_id_1|post_id_1|root_id_1,ldbc_snb_phys_sf1_sf1_ldbc_snb_ic4_g3_00df9f3e.person_knows_person|ldbc_snb_phys_sf1_sf1_ldbc_snb_ic4_g3_00df9f3e.phys_ldbc_snb_ic4_g3_00df9f3e_root_summary|ldbc_snb_phys_sf1_sf1_ldbc_snb_ic4_g3_00df9f3e.post_has_tag|ldbc_snb_phys_sf1_sf1_ldbc_snb_ic4_g3_00df9f3e.posts
sf1,IC5,IC5_NewGroups,ldbc_snb_ic5_g7_a2002d4c,G7,secondary_affected,8636.625373270363,7030.836162390187,3.0,41.0,41.0,41.0,0.0,True,False,True,False,False,False,False,False,DB|EQ|FETCH|IN|IXSCAN|LIMIT,person1_id_1|person2_id_1|person_id_1,ldbc_snb_phys_sf1_sf1_ldbc_snb_ic5_g7_a2002d4c.forum_has_member_person|ldbc_snb_phys_sf1_sf1_ldbc_snb_ic5_g7_a2002d4c.person_knows_person
sf1,IC6,IC6_TagCoOccurrence,ldbc_snb_ic6_g0_f6a698ed,G0,primary,82.23682607058436,62.10738345980644,5.0,46.0,56.0,46.0,0.0,True,False,True,False,False,False,False,False,DB|EQ|EXPRESS_IXSCAN|FETCH|IN|IXSCAN|LIMIT,creator_person_id_1|person1_id_1|person2_id_1|post_id_1|tag_id_1,ldbc_snb_phys_sf1_sf1_ldbc_snb_ic6_g0_f6a698ed.person_knows_person|ldbc_snb_phys_sf1_sf1_ldbc_snb_ic6_g0_f6a698ed.post_has_tag|ldbc_snb_phys_sf1_sf1_ldbc_snb_ic6_g0_f6a698ed.posts|ldbc_snb_phys_sf1_sf1_ldbc_snb_ic6_g0_f6a698ed.tags
sf1,IC7,IC7_RecentLikers,ldbc_snb_ic7_g6_084f8a43,G6,secondary_affected,1.1722147930413485,1.0725119151175022,3.0,15.0,20.0,14.0,0.0,True,False,True,True,False,False,False,False,AND|DB|EQ|FETCH|IN|IXSCAN|LIMIT|OR|SORT|SUBPLAN,owner_person_id_1|owner_person_id_1_latest_creation_date_-1|person1_id_1|person2_id_1|person_id_1,ldbc_snb_ic7_missing_qplan_sf1_ldbc_snb_ic7_g6_084f8a43.ic7_g6_owner_liker_reverse_index|ldbc_snb_ic7_missing_qplan_sf1_ldbc_snb_ic7_g6_084f8a43.person_knows_person|ldbc_snb_ic7_missing_qplan_sf1_ldbc_snb_ic7_g6_084f8a43.persons
sf1,INS1,INS1_AddPerson,ldbc_snb_ins1_g3_10a467d5,G3,primary,1.874242164194584,1.779824262484908,,,,,,,,,,,,,,,,
sf1,INS2,INS2_AddLikeToPost,ldbc_snb_ins2_g6_f226f1c0,G6,primary,0.5551356123760343,0.5096155684441328,,,,,,,,,,,,,,,,
sf1,INS3,INS3_AddLikeToComment,ldbc_snb_ins3_g6_c1c01729,G6,primary,1.0541439056396484,0.8018018677830696,,,,,,,,,,,,,,,,
sf1,INS4,INS4_AddForum,ldbc_snb_ins4_g3_b5f0ac72,G3,primary,1.4519527088850737,1.1107562575489285,,,,,,,,,,,,,,,,
sf1,INS5,INS5_AddForumMembership,ldbc_snb_ins5_g6_9496cfdb,G6,primary,0.6805679993703961,0.563126103952527,,,,,,,,,,,,,,,,
sf1,INS6,INS6_AddPost,ldbc_snb_ins6_g7_2ba4aefb,G7,secondary_affected,1.7574992030858994,1.6649154946208,,,,,,,,,,,,,,,,
