query_name,generic_class,query_family,query_type,selected_root,document_depth,max_depth_for_query,Rc,Rc_status,Re,DeltaR,DeltaRratio,n_reachable_entities,reachable_entities,n_total_edges,n_covered_edges,n_remaining_edges,covered_edge_ids,remaining_edge_ids,covered_relationships,remaining_relationships,covered_semantic_types,remaining_semantic_types,is_full_coverage
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,3,4,6,connected,1,5,0.8333333333333334,6,"['BuyTransaction', 'FinancialServiceAccount', 'ListedSecurity', 'Person', 'SellTransaction', 'Transaction']",6,6,1,"['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Holding [account_has_holding]', 'FinancialServiceAccount -- Transaction [account_records_transaction]', 'BuyTransaction -- Transaction [buy_transaction_is_transaction]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]', 'SellTransaction -- Transaction [sell_transaction_is_transaction]']",['Corporation -- ListedSecurity [corporation_has_listed_security]'],"['account_has_holding', 'account_records_transaction', 'buy_transaction_is_transaction', 'holding_refers_to_listed_security', 'person_owns_financial_service_account', 'sell_transaction_is_transaction']",['corporation_has_listed_security'],"['association', 'containment', 'ownership', 'subtype']",['association'],False
Q7_PersonsWhoBoughtMoreIBMThanSold,QG7,Aggregation / ranking,select,Person,4,4,6,connected,0,6,1.0,7,"['BuyTransaction', 'Corporation', 'FinancialServiceAccount', 'ListedSecurity', 'Person', 'SellTransaction', 'Transaction']",6,7,0,"['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Holding [account_has_holding]', 'FinancialServiceAccount -- Transaction [account_records_transaction]', 'BuyTransaction -- Transaction [buy_transaction_is_transaction]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]', 'SellTransaction -- Transaction [sell_transaction_is_transaction]', 'Corporation -- ListedSecurity [corporation_has_listed_security]']",[],"['account_has_holding', 'account_records_transaction', 'buy_transaction_is_transaction', 'corporation_has_listed_security', 'holding_refers_to_listed_security', 'person_owns_financial_service_account', 'sell_transaction_is_transaction']",[],"['association', 'containment', 'ownership', 'subtype']",[],True
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Transaction,0,2,3,connected,3,0,0.0,1,['Transaction'],3,0,3,[],"['SellTransaction -- Transaction [sell_transaction_is_transaction]', 'Transaction -- ListedSecurity [transaction_refers_to_listed_security]', 'Corporation -- ListedSecurity [corporation_has_listed_security]']",[],"['corporation_has_listed_security', 'sell_transaction_is_transaction', 'transaction_refers_to_listed_security']",[],"['association', 'subtype']",False
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Transaction,1,2,3,connected,1,2,0.6666666666666666,3,"['ListedSecurity', 'SellTransaction', 'Transaction']",3,2,1,"['SellTransaction -- Transaction [sell_transaction_is_transaction]', 'Transaction -- ListedSecurity [transaction_refers_to_listed_security]']",['Corporation -- ListedSecurity [corporation_has_listed_security]'],"['sell_transaction_is_transaction', 'transaction_refers_to_listed_security']",['corporation_has_listed_security'],"['association', 'subtype']",['association'],False
Q8_IBMTransactionsBelowAverageSellingPrice,QG8,Aggregation / ranking,select,Transaction,2,2,3,connected,0,3,1.0,4,"['Corporation', 'ListedSecurity', 'SellTransaction', 'Transaction']",3,3,0,"['SellTransaction -- Transaction [sell_transaction_is_transaction]', 'Transaction -- ListedSecurity [transaction_refers_to_listed_security]', 'Corporation -- ListedSecurity [corporation_has_listed_security]']",[],"['corporation_has_listed_security', 'sell_transaction_is_transaction', 'transaction_refers_to_listed_security']",[],"['association', 'subtype']",[],True
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,0,3,5,connected,6,-1,-0.2,1,['Person'],5,0,6,[],"['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Holding [account_has_holding]', 'FinancialServiceAccount -- Transaction [account_records_transaction]', 'BuyTransaction -- Transaction [buy_transaction_is_transaction]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]', 'SellTransaction -- Transaction [sell_transaction_is_transaction]']",[],"['account_has_holding', 'account_records_transaction', 'buy_transaction_is_transaction', 'holding_refers_to_listed_security', 'person_owns_financial_service_account', 'sell_transaction_is_transaction']",[],"['association', 'containment', 'ownership', 'subtype']",False
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,1,3,5,connected,5,0,0.0,2,"['FinancialServiceAccount', 'Person']",5,1,5,['Person -- FinancialServiceAccount [person_owns_financial_service_account]'],"['FinancialServiceAccount -- Holding [account_has_holding]', 'FinancialServiceAccount -- Transaction [account_records_transaction]', 'BuyTransaction -- Transaction [buy_transaction_is_transaction]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]', 'SellTransaction -- Transaction [sell_transaction_is_transaction]']",['person_owns_financial_service_account'],"['account_has_holding', 'account_records_transaction', 'buy_transaction_is_transaction', 'holding_refers_to_listed_security', 'sell_transaction_is_transaction']",['ownership'],"['association', 'containment', 'subtype']",False
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,2,3,5,connected,3,2,0.4,3,"['FinancialServiceAccount', 'Person', 'Transaction']",5,3,3,"['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Holding [account_has_holding]', 'FinancialServiceAccount -- Transaction [account_records_transaction]']","['BuyTransaction -- Transaction [buy_transaction_is_transaction]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]', 'SellTransaction -- Transaction [sell_transaction_is_transaction]']","['account_has_holding', 'account_records_transaction', 'person_owns_financial_service_account']","['buy_transaction_is_transaction', 'holding_refers_to_listed_security', 'sell_transaction_is_transaction']","['containment', 'ownership']","['association', 'subtype']",False
Q9_PersonsWhoBoughtAndSoldSameStock,QG9,Associative retrieval + comparison,select,Person,3,3,5,connected,0,5,1.0,6,"['BuyTransaction', 'FinancialServiceAccount', 'ListedSecurity', 'Person', 'SellTransaction', 'Transaction']",5,6,0,"['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Holding [account_has_holding]', 'FinancialServiceAccount -- Transaction [account_records_transaction]', 'BuyTransaction -- Transaction [buy_transaction_is_transaction]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]', 'SellTransaction -- Transaction [sell_transaction_is_transaction]']",[],"['account_has_holding', 'account_records_transaction', 'buy_transaction_is_transaction', 'holding_refers_to_listed_security', 'person_owns_financial_service_account', 'sell_transaction_is_transaction']",[],"['association', 'containment', 'ownership', 'subtype']",[],True
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,0,3,5,connected,5,0,0.0,1,['Person'],5,0,5,[],"['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Holding [account_has_holding]', 'FinancialServiceAccount -- Transaction [account_records_transaction]', 'BuyTransaction -- Transaction [buy_transaction_is_transaction]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]']",[],"['account_has_holding', 'account_records_transaction', 'buy_transaction_is_transaction', 'holding_refers_to_listed_security', 'person_owns_financial_service_account']",[],"['association', 'containment', 'ownership', 'subtype']",False
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,1,3,5,connected,4,1,0.2,2,"['FinancialServiceAccount', 'Person']",5,1,4,['Person -- FinancialServiceAccount [person_owns_financial_service_account]'],"['FinancialServiceAccount -- Holding [account_has_holding]', 'FinancialServiceAccount -- Transaction [account_records_transaction]', 'BuyTransaction -- Transaction [buy_transaction_is_transaction]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]']",['person_owns_financial_service_account'],"['account_has_holding', 'account_records_transaction', 'buy_transaction_is_transaction', 'holding_refers_to_listed_security']",['ownership'],"['association', 'containment', 'subtype']",False
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,2,3,5,connected,2,3,0.6,4,"['FinancialServiceAccount', 'Holding', 'Person', 'Transaction']",5,3,2,"['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Holding [account_has_holding]', 'FinancialServiceAccount -- Transaction [account_records_transaction]']","['BuyTransaction -- Transaction [buy_transaction_is_transaction]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]']","['account_has_holding', 'account_records_transaction', 'person_owns_financial_service_account']","['buy_transaction_is_transaction', 'holding_refers_to_listed_security']","['containment', 'ownership']","['association', 'subtype']",False
Q10_CreateAccountHoldingAndBuyTransaction,QG10,Update / insertion with relationship creation,insert,Person,3,3,5,connected,0,5,1.0,6,"['BuyTransaction', 'FinancialServiceAccount', 'Holding', 'ListedSecurity', 'Person', 'Transaction']",5,5,0,"['Person -- FinancialServiceAccount [person_owns_financial_service_account]', 'FinancialServiceAccount -- Holding [account_has_holding]', 'FinancialServiceAccount -- Transaction [account_records_transaction]', 'BuyTransaction -- Transaction [buy_transaction_is_transaction]', 'Holding -- ListedSecurity [holding_refers_to_listed_security]']",[],"['account_has_holding', 'account_records_transaction', 'buy_transaction_is_transaction', 'holding_refers_to_listed_security', 'person_owns_financial_service_account']",[],"['association', 'containment', 'ownership', 'subtype']",[],True
