dataset,scale_label,query_name,run_phase,query_scale_phase_id,baseline,availability_status,selected_g_classes,selected_config_count,global_best_config_id,global_best_g_class,global_best_p95,baseline_best_config_id,baseline_best_g_class,baseline_best_p95,top1_preserved,top3_preserved,near_best_preserved,relative_regret,random_repetitions,random_k_size,random_top1_std,random_top3_std,random_near_best_std,random_regret_std,note
ldbc_snb,sf0.1,IC2_RecentMessagesByFriends,cold,ldbc_snb::sf0.1::IC2_RecentMessagesByFriends::cold,depth_only,available,G3,1,ldbc_snb_ic2_g0_bcc20fff,G0,2550.1417764055027,ldbc_snb_ic2_g3_8f05f032,G3,2646.985309401493,0.0,1.0,1.0,0.03797574467898564,,,,,,,Coverage status: partial; performance computed over selected measured classes.
fiben,sf1,Q7_PersonsWhoBoughtMoreIBMThanSold,cold,fiben::sf1::Q7_PersonsWhoBoughtMoreIBMThanSold::cold,depth_only,available,G3|G4|G5|G6|G9,5,q7_persons_who_bought_more_ibmthan_sold__g2__embed_containment_children,G2,1.2768174929078666,q7_persons_who_bought_more_ibmthan_sold__g5__shared_targets_as_references,G5,1.3248960720375178,0.0,1.0,1.0,0.037655012871225184,,,,,,,Coverage status: full; performance computed over selected measured classes.
fiben,sf1,Q7_PersonsWhoBoughtMoreIBMThanSold,cold,fiben::sf1::Q7_PersonsWhoBoughtMoreIBMThanSold::cold,relationship_type_only,available,G4|G5|G6,3,q7_persons_who_bought_more_ibmthan_sold__g2__embed_containment_children,G2,1.2768174929078666,q7_persons_who_bought_more_ibmthan_sold__g5__shared_targets_as_references,G5,1.3248960720375178,0.0,1.0,1.0,0.037655012871225184,,,,,,,Coverage status: full; performance computed over selected measured classes.
imdb,sf0.5,QG2_WatchItemByTitle,cold,imdb::sf0.5::QG2_WatchItemByTitle::cold,random_k,available,random_sample_k=6,6,series_g9,G9,0.3488772075797897,,,0.3618290664635424,0.688,0.99,0.688,0.03712440538492494,1000,6,0.4633098315382483,0.09949874371066199,0.4633098315382483,0.059837234183814814,Random-k is averaged over repeated samples from measured configuration classes.
imdb,sf1,QG5_AllPersonsForEpisodesOfSeries,cold,imdb::sf1::QG5_AllPersonsForEpisodesOfSeries::cold,relationship_type_only,available,G4|G5|G6,3,series_g8,G8,482.7243484993232,watchitem_g4,G4,500.5846046515216,0.0,0.0,1.0,0.03699887152517118,,,,,,,Coverage status: full; performance computed over selected measured classes.
ldbc_snb,sf0.1,INS6_AddPost,hot,ldbc_snb::sf0.1::INS6_AddPost::hot,relationship_type_only,available,G7|G9,2,ldbc_snb_ins6_g0_50983b9d,G0,2.2203130545676686,ldbc_snb_ins6_g7_2ba4aefb,G7,2.299815102742286,0.0,1.0,1.0,0.03580668411198335,,,,,,,Coverage status: partial; performance computed over selected measured classes.
fiben,sf1,Q10_CreateAccountHoldingAndBuyTransaction,cold,fiben::sf1::Q10_CreateAccountHoldingAndBuyTransaction::cold,always_reference,available,CONTROL|G3|G7,3,q10_create_account_holding_and_buy_transaction__g5__shared_targets_as_references,G5,0.7304442580789327,q10_create_account_holding_and_buy_transaction__g3__association_references,G3,0.755915488116443,0.0,1.0,1.0,0.034870874479182974,,,,,,,Coverage status: partial; performance computed over selected measured classes.
fiben,sf30,Q5_ReportsAndMetricDataOfCompany,cold,fiben::sf30::Q5_ReportsAndMetricDataOfCompany::cold,random_k,available,random_sample_k=3,3,q5_reports_and_metric_data_of_company__g9__tradeoff_benchmark_candidate,G9,46.00141868577337,,,47.59449963478837,0.742,1.0,0.742,0.03463112648540276,1000,3,0.4375339986789598,0.0,0.4375339986789598,0.05872982655005853,Random-k is averaged over repeated samples from measured configuration classes.
imdb,sf0.25,QG1_WatchItemById,hot,imdb::sf0.25::QG1_WatchItemById::hot,random_k,available,random_sample_k=6,6,series_g9,G9,0.2058836013020482,,,0.21289601046919415,0.657,0.988,0.657,0.03406006657547323,1000,6,0.4747114913292073,0.1088852607105296,0.4747114913292073,0.047326527207406655,Random-k is averaged over repeated samples from measured configuration classes.
ldbc_snb,sf1,IC7_RecentLikers,cold,ldbc_snb::sf1::IC7_RecentLikers::cold,always_embed,available,G4,1,ldbc_snb_ic7_g3_d6d26f02,G3,9099.89654269737,ldbc_snb_ic7_g4_5de4a081,G4,9407.688706506431,0.0,1.0,1.0,0.033823699243708774,,,,,,,Coverage status: partial; performance computed over selected measured classes.
ldbc_snb,sf0.1,IS6_ForumOfMessage,cold,ldbc_snb::sf0.1::IS6_ForumOfMessage::cold,always_embed,available,G9,1,ldbc_snb_is6_g7_0aecbe5c,G7,44.80885500306604,ldbc_snb_is6_g9_c7584187,G9,46.32240084538344,0.0,1.0,1.0,0.03377782900754403,,,,,,,Coverage status: partial; performance computed over selected measured classes.
