dataset,scale_label,query_name,run_phase,selected_g_classes,selected_config_count,activated_count,dsr,global_best_g_class,baseline_best_g_class,top1_preserved,top3_preserved,near_best_preserved,relative_regret
imdb,sf0.5,QG8_AddPersonRoleToWatchItem,hot,G0|G2|G3|G4|G5|G6,6,6,0.4,G7,G3,0.0,1.0,1.0,0.0498700428964394
imdb,sf0.5,QG9_TopRatedSeriesByGenre,hot,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,9,0.09999999999999998,G7,G7,1.0,1.0,1.0,0.0
imdb,sf1,QG10_AdvancedSearchWatchItems,hot,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,9,0.09999999999999998,G9,G9,1.0,1.0,1.0,0.0
imdb,sf1,QG1_WatchItemById,hot,G0|G2|G3|G4|G5|G6,6,6,0.4,G9,G2,0.0,1.0,1.0,0.0043473267460989
imdb,sf1,QG2_WatchItemByTitle,hot,G0|G2|G3|G4|G5|G6,6,6,0.4,G8,G0,0.0,1.0,1.0,0.0228721826548426
imdb,sf1,QG3_RecommendationByGenreAndSubtype,hot,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,9,0.09999999999999998,G8,G8,1.0,1.0,1.0,0.0
imdb,sf1,QG4_AllPersonsOfTypeForWatchItem,hot,G0|G2|G3|G4|G5|G6,6,6,0.4,G6,G6,1.0,1.0,1.0,0.0
imdb,sf1,QG5_AllPersonsForEpisodesOfSeries,hot,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,9,0.09999999999999998,G4,G4,1.0,1.0,1.0,0.0
imdb,sf1,QG6_EpisodesOfSeries,hot,G3|G7|G8|G9,4,4,0.6,G7,G7,1.0,1.0,1.0,0.0
imdb,sf1,QG7_UpdateWatchItemMetadata,hot,G0|G2|G3|G4|G5|G6,6,6,0.4,G8,G2,0.0,1.0,1.0,0.0081789091569362
imdb,sf1,QG8_AddPersonRoleToWatchItem,hot,G0|G2|G3|G4|G5|G6,6,6,0.4,G3,G3,1.0,1.0,1.0,0.0
imdb,sf1,QG9_TopRatedSeriesByGenre,hot,G0|G2|G3|G4|G5|G6|G7|G8|G9,9,9,0.09999999999999998,G7,G7,1.0,1.0,1.0,0.0
ldbc_snb,sf0.1,IC1_TransitiveFriendsWithName,hot,G0|G3,2,2,0.8,G0,G0,1.0,1.0,1.0,0.0
ldbc_snb,sf0.1,IC2_RecentMessagesByFriends,hot,G0|G3,2,2,0.8,G3,G3,1.0,1.0,1.0,0.0
ldbc_snb,sf0.1,IC3_FriendsAndFriendsOfFriendsInCountries,hot,G0|G3|G7|G9,4,4,0.6,G3,G3,1.0,1.0,1.0,0.0
ldbc_snb,sf0.1,IC4_NewTopics,hot,G0|G3,2,2,0.8,G0,G0,1.0,1.0,1.0,0.0
ldbc_snb,sf0.1,IC5_NewGroups,hot,G0|G3|G4|G6|G7|G9,6,6,0.4,G3,G3,1.0,1.0,1.0,0.0
ldbc_snb,sf0.1,IC6_TagCoOccurrence,hot,G0|G3,2,2,0.8,G0,G0,1.0,1.0,1.0,0.0
ldbc_snb,sf0.1,IC7_RecentLikers,hot,G0|G3|G4|G6,4,4,0.6,G3,G3,1.0,1.0,1.0,0.0
ldbc_snb,sf0.1,INS1_AddPerson,hot,G0|G3,2,2,0.8,G3,G3,1.0,1.0,1.0,0.0
ldbc_snb,sf0.1,INS2_AddLikeToPost,hot,G4|G6,2,2,0.8,G6,G6,1.0,1.0,1.0,0.0
ldbc_snb,sf0.1,INS3_AddLikeToComment,hot,G4|G6,2,2,0.8,G6,G6,1.0,1.0,1.0,0.0
ldbc_snb,sf0.1,INS4_AddForum,hot,G0|G3,2,2,0.8,G0,G0,1.0,1.0,1.0,0.0
ldbc_snb,sf0.1,INS5_AddForumMembership,hot,G4|G6,2,2,0.8,G6,G6,1.0,1.0,1.0,0.0
ldbc_snb,sf0.1,INS6_AddPost,hot,G0|G3|G7|G9,4,4,0.6,G7,G7,1.0,1.0,1.0,0.0
ldbc_snb,sf0.1,INS7_AddComment,hot,G0|G3|G7|G9,4,4,0.6,G7,G7,1.0,1.0,1.0,0.0
ldbc_snb,sf0.1,INS8_AddFriendship,hot,G0|G3,2,2,0.8,G0,G0,1.0,1.0,1.0,0.0
ldbc_snb,sf0.1,IS1_ProfileOfPerson,hot,G0|G3,2,2,0.8,G3,G3,1.0,1.0,1.0,0.0
ldbc_snb,sf0.1,IS2_RecentMessagesOfPerson,hot,G0|G3|G4|G6|G7|G9,6,6,0.4,G9,G9,1.0,1.0,1.0,0.0
ldbc_snb,sf0.1,IS3_FriendsOfPerson,hot,G0|G3,2,2,0.8,G3,G3,1.0,1.0,1.0,0.0
ldbc_snb,sf0.1,IS4_ContentOfMessage,hot,G1,1,1,0.9,G0,G1,0.0,1.0,1.0,0.0001214482693483
ldbc_snb,sf0.1,IS5_CreatorOfMessage,hot,G0|G3,2,2,0.8,G0,G0,1.0,1.0,1.0,0.0
ldbc_snb,sf0.1,IS6_ForumOfMessage,hot,G0|G3|G7|G9,4,4,0.6,G9,G9,1.0,1.0,1.0,0.0
ldbc_snb,sf0.1,IS7_RepliesOfMessage,hot,G0|G3|G7|G9,4,4,0.6,G9,G9,1.0,1.0,1.0,0.0
ldbc_snb,sf1,IC1_TransitiveFriendsWithName,hot,G0|G3,2,2,0.8,G0,G0,1.0,1.0,1.0,0.0
ldbc_snb,sf1,IC2_RecentMessagesByFriends,hot,G0|G3,2,2,0.8,G3,G3,1.0,1.0,1.0,0.0
ldbc_snb,sf1,IC3_FriendsAndFriendsOfFriendsInCountries,hot,G0|G3|G7|G9,4,4,0.6,G7,G7,1.0,1.0,1.0,0.0
ldbc_snb,sf1,IC4_NewTopics,hot,G0|G3,2,2,0.8,G3,G3,1.0,1.0,1.0,0.0
ldbc_snb,sf1,IC5_NewGroups,hot,G0|G3|G4|G6|G7|G9,6,6,0.4,G7,G7,1.0,1.0,1.0,0.0
ldbc_snb,sf1,IC6_TagCoOccurrence,hot,G0|G3,2,2,0.8,G0,G0,1.0,1.0,1.0,0.0
ldbc_snb,sf1,IC7_RecentLikers,hot,G0|G3|G4|G6,4,4,0.6,G6,G6,1.0,1.0,1.0,0.0
ldbc_snb,sf1,INS1_AddPerson,hot,G0|G3,2,2,0.8,G3,G3,1.0,1.0,1.0,0.0
ldbc_snb,sf1,INS2_AddLikeToPost,hot,G4|G6,2,2,0.8,G6,G6,1.0,1.0,1.0,0.0
ldbc_snb,sf1,INS3_AddLikeToComment,hot,G4|G6,2,2,0.8,G6,G6,1.0,1.0,1.0,0.0
ldbc_snb,sf1,INS4_AddForum,hot,G0|G3,2,2,0.8,G3,G3,1.0,1.0,1.0,0.0
ldbc_snb,sf1,INS5_AddForumMembership,hot,G4|G6,2,2,0.8,G6,G6,1.0,1.0,1.0,0.0
ldbc_snb,sf1,INS6_AddPost,hot,G0|G3|G7|G9,4,4,0.6,G7,G7,1.0,1.0,1.0,0.0
ldbc_snb,sf1,INS7_AddComment,hot,G0|G3|G7|G9,4,4,0.6,G7,G7,1.0,1.0,1.0,0.0
ldbc_snb,sf1,INS8_AddFriendship,hot,G0|G3,2,2,0.8,G3,G3,1.0,1.0,1.0,0.0
ldbc_snb,sf1,IS1_ProfileOfPerson,hot,G0|G3,2,2,0.8,G3,G3,1.0,1.0,1.0,0.0
ldbc_snb,sf1,IS2_RecentMessagesOfPerson,hot,G0|G3|G4|G6|G7|G9,6,6,0.4,G9,G9,1.0,1.0,1.0,0.0
ldbc_snb,sf1,IS3_FriendsOfPerson,hot,G0|G3,2,2,0.8,G3,G3,1.0,1.0,1.0,0.0
ldbc_snb,sf1,IS4_ContentOfMessage,hot,G1,1,1,0.9,G0,G1,0.0,1.0,1.0,0.0417511087848614
ldbc_snb,sf1,IS5_CreatorOfMessage,hot,G0|G3,2,2,0.8,G3,G3,1.0,1.0,1.0,0.0
ldbc_snb,sf1,IS6_ForumOfMessage,hot,G0|G3|G7|G9,4,4,0.6,G3,G3,1.0,1.0,1.0,0.0
ldbc_snb,sf1,IS7_RepliesOfMessage,hot,G0|G3|G7|G9,4,4,0.6,G3,G3,1.0,1.0,1.0,0.0
ldbc_snb,sf3,IC1_TransitiveFriendsWithName,hot,G0|G3,2,2,0.8,G0,G0,1.0,1.0,1.0,0.0
ldbc_snb,sf3,IC2_RecentMessagesByFriends,hot,G0|G3,2,2,0.8,G0,G0,1.0,1.0,1.0,0.0
ldbc_snb,sf3,IC3_FriendsAndFriendsOfFriendsInCountries,hot,G0|G3|G7|G9,4,4,0.6,G7,G7,1.0,1.0,1.0,0.0
ldbc_snb,sf3,IC4_NewTopics,hot,G0|G3,2,2,0.8,G0,G0,1.0,1.0,1.0,0.0
ldbc_snb,sf3,IC5_NewGroups,hot,G0|G3|G4|G6|G7|G9,6,6,0.4,G9,G9,1.0,1.0,1.0,0.0
ldbc_snb,sf3,IC6_TagCoOccurrence,hot,G0|G3,2,2,0.8,G3,G3,1.0,1.0,1.0,0.0
ldbc_snb,sf3,IC7_RecentLikers,hot,G0|G3|G4|G6,4,4,0.6,G3,G3,1.0,1.0,1.0,0.0
ldbc_snb,sf3,INS1_AddPerson,hot,G0|G3,2,2,0.8,G3,G3,1.0,1.0,1.0,0.0
ldbc_snb,sf3,INS2_AddLikeToPost,hot,G4|G6,2,2,0.8,G4,G4,1.0,1.0,1.0,0.0
ldbc_snb,sf3,INS3_AddLikeToComment,hot,G4|G6,2,2,0.8,G6,G6,1.0,1.0,1.0,0.0
ldbc_snb,sf3,INS4_AddForum,hot,G0|G3,2,2,0.8,G3,G3,1.0,1.0,1.0,0.0
ldbc_snb,sf3,INS5_AddForumMembership,hot,G4|G6,2,2,0.8,G6,G6,1.0,1.0,1.0,0.0
ldbc_snb,sf3,INS6_AddPost,hot,G0|G3|G7|G9,4,4,0.6,G7,G7,1.0,1.0,1.0,0.0
ldbc_snb,sf3,INS7_AddComment,hot,G0|G3|G7|G9,4,4,0.6,G7,G7,1.0,1.0,1.0,0.0
ldbc_snb,sf3,INS8_AddFriendship,hot,G0|G3,2,2,0.8,G0,G0,1.0,1.0,1.0,0.0
ldbc_snb,sf3,IS1_ProfileOfPerson,hot,G0|G3,2,2,0.8,G3,G3,1.0,1.0,1.0,0.0
ldbc_snb,sf3,IS2_RecentMessagesOfPerson,hot,G0|G3|G4|G6|G7|G9,6,6,0.4,G7,G7,1.0,1.0,1.0,0.0
ldbc_snb,sf3,IS3_FriendsOfPerson,hot,G0|G3,2,2,0.8,G3,G3,1.0,1.0,1.0,0.0
ldbc_snb,sf3,IS4_ContentOfMessage,hot,G1,1,1,0.9,G0,G1,0.0,1.0,1.0,0.0324040695507578
ldbc_snb,sf3,IS5_CreatorOfMessage,hot,G0|G3,2,2,0.8,G3,G3,1.0,1.0,1.0,0.0
ldbc_snb,sf3,IS6_ForumOfMessage,hot,G0|G3|G7|G9,4,4,0.6,G3,G3,1.0,1.0,1.0,0.0
ldbc_snb,sf3,IS7_RepliesOfMessage,hot,G0|G3|G7|G9,4,4,0.6,G7,G7,1.0,1.0,1.0,0.0
