dataset,scale_label,query_name,query_scale_phase_id,config_id,g_class,design_family,benchmark_group,run_phase,n_runs,n_success_runs,avg_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,std_latency_ms,avg_documents_returned,avg_documents_written,source_experiment_id,source_file
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::cold,q2_company_with_industry_country_and_listed_securities__g5__shared_targets_as_references,G5,shared_target_reference_strategy,primary,cold,10,10,0.1368976896628737,0.122988480143249,0.2086676482576875,0.2506198699120432,0.1094549661502242,0.2611079253256321,0.0424301267131255,1.0,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::cold,q2_company_with_industry_country_and_listed_securities__g7__update_aware_references,G7,update_aware_reference_design,secondary_affected,cold,10,10,0.1476226956583559,0.1275604590773582,0.2509824000298974,0.3183916769921779,0.1166320871561765,0.335243996232748,0.0631592705693045,1.0,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::cold,q2_company_with_industry_country_and_listed_securities__g9__tradeoff_benchmark_candidate,G9,benchmark_tradeoff_alternative,secondary_affected,cold,10,10,0.2055180142633617,0.1339184818789363,0.5093396466691043,0.6569623539689928,0.1231520436704158,0.6938680307939649,0.1690573331598712,1.0,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::hot,q2_company_with_industry_country_and_listed_securities__control__normalized_reference_baseline,CONTROL,normalized_reference_baseline,control,hot,10,10,0.1420702901668846,0.142983510158956,0.1719512627460062,0.1793366414494812,0.1175469951704144,0.18118298612535,0.0191337097535699,1.0,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::hot,q2_company_with_industry_country_and_listed_securities__g1__embed_descriptors,G1,embedded_descriptors,primary,hot,10,10,0.1338394009508192,0.1307824859395623,0.1670388388447463,0.1680134027265012,0.1068171113729476,0.1682570436969399,0.019407285278272,1.0,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::hot,q2_company_with_industry_country_and_listed_securities__g3__association_references,G3,association_references,primary,hot,10,10,0.1193763222545385,0.1175865181721746,0.1315125089604407,0.1338848809245973,0.1107050338760018,0.1344779739156365,0.0073588635848455,1.0,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::hot,q2_company_with_industry_country_and_listed_securities__g5__shared_targets_as_references,G5,shared_target_reference_strategy,primary,hot,10,10,0.1114095211960375,0.110942986793816,0.1171174575574696,0.1192299486137926,0.1077150227501988,0.1197580713778734,0.0035147451563235,1.0,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::hot,q2_company_with_industry_country_and_listed_securities__g7__update_aware_references,G7,update_aware_reference_design,secondary_affected,hot,10,10,0.1194949029013514,0.1181180123239755,0.1288149913307279,0.1300998113583773,0.1133880577981472,0.1304210163652897,0.0053468577167184,1.0,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::hot,q2_company_with_industry_country_and_listed_securities__g9__tradeoff_benchmark_candidate,G9,benchmark_tradeoff_alternative,secondary_affected,hot,10,10,0.1251338049769401,0.1274904934689402,0.1336528570391237,0.1353185926564037,0.1164940185844898,0.1357350265607237,0.0062290238832794,1.0,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,fiben::sf1::Q3_SecuritiesHeldInEachFinancialServiceAccount::cold,q3_securities_held_in_each_financial_service_account__control__normalized_reference_baseline,CONTROL,normalized_reference_baseline,control,cold,10,10,0.519970094319433,0.4520015208981931,0.891991733806207,1.1463407112751156,0.3798999823629856,1.2099279556423426,0.2327780636181233,10.6,0.0,,analysis/fiben/benchmark_aggregate_results_fiben_sf1.csv
