dataset,query_order,query_name,scale_label,semantic_family,activated_configs,best_observed_config,best_observed_g,activated_best_config,activated_best_g,full_best_p95_ms,activated_best_p95_ms,dsr,top1_preserved,near_best_preserved,relative_regret,status
imdb,8,QG8_AddPersonRoleToWatchItem,sf0.5,insert / associative update,"G0,G2,G3,G4,G5,G6",series_g7,G7,watchitem_g3,G3,0.3584647929528728,0.3763414475542959,0.4,0,1,0.049870042896439495,ok
imdb,8,QG8_AddPersonRoleToWatchItem,sf1,insert / associative update,"G0,G2,G3,G4,G5,G6",watchitem_g3,G3,watchitem_g3,G3,0.3732010467501823,0.3732010467501823,0.4,1,1,0.0,ok
imdb,9,QG9_TopRatedSeriesByGenre,sf0.25,ranking / containment-affected,"G0,G2,G3,G4,G5,G6,G7,G8,G9",series_g7,G7,series_g7,G7,3.006609698422833,3.006609698422833,0.09999999999999998,1,1,0.0,ok
imdb,9,QG9_TopRatedSeriesByGenre,sf0.5,ranking / containment-affected,"G0,G2,G3,G4,G5,G6,G7,G8,G9",series_g7,G7,series_g7,G7,2.054242697340668,2.054242697340668,0.09999999999999998,1,1,0.0,ok
imdb,9,QG9_TopRatedSeriesByGenre,sf1,ranking / containment-affected,"G0,G2,G3,G4,G5,G6,G7,G8,G9",series_g7,G7,series_g7,G7,4.0780437040666575,4.0780437040666575,0.09999999999999998,1,1,0.0,ok
imdb,10,QG10_AdvancedSearchWatchItems,sf0.25,filtered search,"G0,G2,G3,G4,G5,G6,G7,G8,G9",series_g9,G9,series_g9,G9,115.31208974847686,115.31208974847686,0.09999999999999998,1,1,0.0,ok
imdb,10,QG10_AdvancedSearchWatchItems,sf0.5,filtered search,"G0,G2,G3,G4,G5,G6,G7,G8,G9",series_g7,G7,series_g7,G7,171.64141285902582,171.64141285902582,0.09999999999999998,1,1,0.0,ok
imdb,10,QG10_AdvancedSearchWatchItems,sf1,filtered search,"G0,G2,G3,G4,G5,G6,G7,G8,G9",series_g9,G9,series_g9,G9,299.80202334627387,299.80202334627387,0.09999999999999998,1,1,0.0,ok
fiben,1,Q1_CompanyProfileIBM,sf1,rooted lookup,G0,q1_company_profile_ibm__control__normalized_reference_baseline,CONTROL,q1_company_profile_ibm__g0__root_only,G0,0.2333730109967291,0.5578436190262431,0.9,0,0,1.3903518947787055,ok
fiben,1,Q1_CompanyProfileIBM,sf10,rooted lookup,G0,q1_company_profile_ibm__control__normalized_reference_baseline,CONTROL,q1_company_profile_ibm__g0__root_only,G0,0.2957840100862086,0.3418366715777665,0.9,0,0,0.15569692722110126,ok
fiben,1,Q1_CompanyProfileIBM,sf30,rooted lookup,G0,q1_company_profile_ibm__g0__root_only,G0,q1_company_profile_ibm__g0__root_only,G0,0.2247715950943529,0.2247715950943529,0.9,1,1,0.0,ok
fiben,2,Q2_CompanyWithIndustryCountryAndListedSecurities,sf1,association / descriptor,"G1,G3,G5,G7,G9",q2_company_with_industry_country_and_listed_securities__g5__shared_targets_as_references,G5,q2_company_with_industry_country_and_listed_securities__g5__shared_targets_as_references,G5,0.1171174575574696,0.1171174575574696,0.5,1,1,0.0,ok
fiben,2,Q2_CompanyWithIndustryCountryAndListedSecurities,sf10,association / descriptor,"G1,G3,G5,G7,G9",q2_company_with_industry_country_and_listed_securities__g1__embed_descriptors,G1,q2_company_with_industry_country_and_listed_securities__g1__embed_descriptors,G1,0.1553680398501455,0.1553680398501455,0.5,1,1,0.0,ok
fiben,2,Q2_CompanyWithIndustryCountryAndListedSecurities,sf30,association / descriptor,"G1,G3,G5,G7,G9",q2_company_with_industry_country_and_listed_securities__g9__tradeoff_benchmark_candidate,G9,q2_company_with_industry_country_and_listed_securities__g9__tradeoff_benchmark_candidate,G9,0.2507009194232523,0.2507009194232523,0.5,1,1,0.0,ok
fiben,3,Q3_SecuritiesHeldInEachFinancialServiceAccount,sf1,associative / bridge,"G2,G3,G4,G5,G7,G9",q3_securities_held_in_each_financial_service_account__g5__shared_targets_as_references,G5,q3_securities_held_in_each_financial_service_account__g5__shared_targets_as_references,G5,0.4349461290985345,0.4349461290985345,0.4,1,1,0.0,ok
fiben,3,Q3_SecuritiesHeldInEachFinancialServiceAccount,sf10,associative / bridge,"G2,G3,G4,G5,G7,G9",q3_securities_held_in_each_financial_service_account__g4__deep_nested_path,G4,q3_securities_held_in_each_financial_service_account__g4__deep_nested_path,G4,0.8991432900074869,0.8991432900074869,0.4,1,1,0.0,ok
fiben,3,Q3_SecuritiesHeldInEachFinancialServiceAccount,sf30,associative / bridge,"G2,G3,G4,G5,G7,G9",q3_securities_held_in_each_financial_service_account__g5__shared_targets_as_references,G5,q3_securities_held_in_each_financial_service_account__g5__shared_targets_as_references,G5,1.652036904124543,1.652036904124543,0.4,1,1,0.0,ok
fiben,4,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,sf1,deep traversal,"G2,G3,G4,G5,G7,G9",q4_companies_reached_from_person_through_account_holding_listed_security__control__normalized_reference_baseline,CONTROL,q4_companies_reached_from_person_through_account_holding_listed_security__g4__deep_nested_path,G4,1.0028332064393908,1.1840534221846608,0.4,0,0,0.18070823201866382,ok
fiben,4,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,sf10,deep traversal,"G2,G3,G4,G5,G7,G9",q4_companies_reached_from_person_through_account_holding_listed_security__g5__shared_targets_as_references,G5,q4_companies_reached_from_person_through_account_holding_listed_security__g5__shared_targets_as_references,G5,4.308413300896064,4.308413300896064,0.4,1,1,0.0,ok
fiben,4,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,sf30,deep traversal,"G2,G3,G4,G5,G7,G9",q4_companies_reached_from_person_through_account_holding_listed_security__g4__deep_nested_path,G4,q4_companies_reached_from_person_through_account_holding_listed_security__g4__deep_nested_path,G4,17.142359330318868,17.142359330318868,0.4,1,1,0.0,ok
fiben,5,Q5_ReportsAndMetricDataOfCompany,sf1,analytical hierarchy,"G2,G4,G9",q5_reports_and_metric_data_of_company__g2__embed_containment_children,G2,q5_reports_and_metric_data_of_company__g2__embed_containment_children,G2,37.62679109349847,37.62679109349847,0.7,1,1,0.0,ok
fiben,5,Q5_ReportsAndMetricDataOfCompany,sf10,analytical hierarchy,"G2,G4,G9",q5_reports_and_metric_data_of_company__g9__tradeoff_benchmark_candidate,G9,q5_reports_and_metric_data_of_company__g9__tradeoff_benchmark_candidate,G9,28.43278254731557,28.43278254731557,0.7,1,1,0.0,ok
fiben,5,Q5_ReportsAndMetricDataOfCompany,sf30,analytical hierarchy,"G2,G4,G9",q5_reports_and_metric_data_of_company__control__normalized_reference_baseline,CONTROL,q5_reports_and_metric_data_of_company__g4__deep_nested_path,G4,45.21718232426791,45.43279848876408,0.7,0,1,0.004768456445382003,ok
fiben,6,Q6_TechUSListedSecuritiesWithHighLastTradedValue,sf1,filtered analytical,"G1,G3,G5,G7,G9",q6_tech_uslisted_securities_with_high_last_traded_value__g9__tradeoff_benchmark_candidate,G9,q6_tech_uslisted_securities_with_high_last_traded_value__g9__tradeoff_benchmark_candidate,G9,0.3859236370772123,0.3859236370772123,0.5,1,1,0.0,ok
fiben,6,Q6_TechUSListedSecuritiesWithHighLastTradedValue,sf10,filtered analytical,"G1,G3,G5,G7,G9",q6_tech_uslisted_securities_with_high_last_traded_value__control__normalized_reference_baseline,CONTROL,q6_tech_uslisted_securities_with_high_last_traded_value__g5__shared_targets_as_references,G5,91.47433224134149,152.9015781241469,0.5,0,0,0.6715243979123972,ok
