dataset,scale_label,query_name,run_phase,query_scale_phase_id,baseline,availability_status,selected_g_classes,selected_config_count,global_best_config_id,global_best_g_class,global_best_p95,baseline_best_config_id,baseline_best_g_class,baseline_best_p95,top1_preserved,top3_preserved,near_best_preserved,relative_regret,random_repetitions,random_k_size,random_top1_std,random_top3_std,random_near_best_std,random_regret_std,note
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,hot,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::hot,always_reference,available,CONTROL|G3|G7,3,q2_company_with_industry_country_and_listed_securities__g5__shared_targets_as_references,G5,0.1171174575574696,q2_company_with_industry_country_and_listed_securities__g7__update_aware_references,G7,0.1288149913307279,0.0,1.0,0.0,0.09987865188687446,,,,,,,Coverage status: partial; performance computed over selected measured classes.
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,hot,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::hot,always_embed,available,G5|G9,2,q2_company_with_industry_country_and_listed_securities__g5__shared_targets_as_references,G5,0.1171174575574696,q2_company_with_industry_country_and_listed_securities__g5__shared_targets_as_references,G5,0.1171174575574696,1.0,1.0,1.0,0.0,,,,,,,Coverage status: partial; performance computed over selected measured classes.
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,hot,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::hot,depth_only,available,G9,1,q2_company_with_industry_country_and_listed_securities__g5__shared_targets_as_references,G5,0.1171174575574696,q2_company_with_industry_country_and_listed_securities__g9__tradeoff_benchmark_candidate,G9,0.1336528570391237,0.0,0.0,0.0,0.1411864620911887,,,,,,,Coverage status: partial; performance computed over selected measured classes.
fiben,sf1,Q2_CompanyWithIndustryCountryAndListedSecurities,hot,fiben::sf1::Q2_CompanyWithIndustryCountryAndListedSecurities::hot,relationship_type_only,available,G3,1,q2_company_with_industry_country_and_listed_securities__g5__shared_targets_as_references,G5,0.1171174575574696,q2_company_with_industry_country_and_listed_securities__g3__association_references,G3,0.1315125089604407,0.0,1.0,0.0,0.12291123546553623,,,,,,,Coverage status: partial; performance computed over selected measured classes.
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,cold,fiben::sf1::Q3_SecuritiesHeldInEachFinancialServiceAccount::cold,schema_lens,available,G2|G3|G4|G5|G7|G9,6,q3_securities_held_in_each_financial_service_account__g9__tradeoff_benchmark_candidate,G9,0.4659323720261454,q3_securities_held_in_each_financial_service_account__g9__tradeoff_benchmark_candidate,G9,0.4659323720261454,1.0,1.0,1.0,0.0,,,,,,,SchemaLens selects all non-control measured configuration classes for this case.
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,cold,fiben::sf1::Q3_SecuritiesHeldInEachFinancialServiceAccount::cold,random_k,available,random_sample_k=6,6,q3_securities_held_in_each_financial_service_account__g9__tradeoff_benchmark_candidate,G9,0.4659323720261454,,,0.47154095869045703,0.863,1.0,0.863,0.012037340612162648,1000,6,0.3438473498516456,0.0,0.3438473498516456,0.030211734808421258,Random-k is averaged over repeated samples from measured configuration classes.
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,cold,fiben::sf1::Q3_SecuritiesHeldInEachFinancialServiceAccount::cold,always_reference,available,CONTROL|G3|G7,3,q3_securities_held_in_each_financial_service_account__g9__tradeoff_benchmark_candidate,G9,0.4659323720261454,q3_securities_held_in_each_financial_service_account__g7__update_aware_references,G7,0.506870960816741,0.0,1.0,0.0,0.08786380008877845,,,,,,,Coverage status: partial; performance computed over selected measured classes.
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,cold,fiben::sf1::Q3_SecuritiesHeldInEachFinancialServiceAccount::cold,always_embed,available,G2|G4|G5|G9,4,q3_securities_held_in_each_financial_service_account__g9__tradeoff_benchmark_candidate,G9,0.4659323720261454,q3_securities_held_in_each_financial_service_account__g9__tradeoff_benchmark_candidate,G9,0.4659323720261454,1.0,1.0,1.0,0.0,,,,,,,Coverage status: partial; performance computed over selected measured classes.
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,cold,fiben::sf1::Q3_SecuritiesHeldInEachFinancialServiceAccount::cold,depth_only,available,G3|G4|G5|G9,4,q3_securities_held_in_each_financial_service_account__g9__tradeoff_benchmark_candidate,G9,0.4659323720261454,q3_securities_held_in_each_financial_service_account__g9__tradeoff_benchmark_candidate,G9,0.4659323720261454,1.0,1.0,1.0,0.0,,,,,,,Coverage status: partial; performance computed over selected measured classes.
fiben,sf1,Q3_SecuritiesHeldInEachFinancialServiceAccount,cold,fiben::sf1::Q3_SecuritiesHeldInEachFinancialServiceAccount::cold,relationship_type_only,available,G4|G5,2,q3_securities_held_in_each_financial_service_account__g9__tradeoff_benchmark_candidate,G9,0.4659323720261454,q3_securities_held_in_each_financial_service_account__g4__deep_nested_path,G4,0.5302824371028692,0.0,0.0,0.0,0.13811031158211262,,,,,,,Coverage status: partial; performance computed over selected measured classes.
