candidate_id,query_name,final_benchmark_group,design_pattern,g_class,root_entity,scale_label,run_phase,repetition,execution_db_name,execution_status,n_components,n_completed_components,n_failed_components,sum_execution_time_millis,sum_n_returned,sum_total_docs_examined,sum_total_keys_examined,docs_per_returned_total,keys_per_returned_total,has_IXSCAN,has_COLLSCAN,has_FETCH,has_SORT,has_AND_SORTED,has_OR,has_PROJECTION,has_LOOKUP,has_GROUP,used_disk,all_stages,all_index_names,query_hashes,plan_cache_keys,n_rejected_plans,sum_estimated_docs_examined_bytes,sum_estimated_returned_bytes,estimated_examined_bytes_per_returned,max_docs_examined_collection_ratio,max_index_to_data_size_ratio,max_collection_avg_obj_size_bytes,collections_touched,source_results_dir
q4_companies_reached_from_person_through_account_holding_listed_security__g3__association_references,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,primary,association_references,G3,Person,sf10,hot,1,fiben_exec_sf10,completed,5,5,0,1.0,669,679,730,1.014947683109118,1.0911808669656202,True,True,True,False,False,False,False,False,False,False,COLLSCAN;EXPRESS_IXSCAN;FETCH;IXSCAN,PERSONID_1;_norm_FINANCIALSERVICEACCOUNTID_1;_norm_ISHELDBY_1;_norm_SECURITYID_1,150E6C33;400A72A1;78862482;D5623B4B;D75FAEE7,36789A5E;387E2BC7;79C4EEA8;94214E4B;F4158575,0,123224.0,117864.0,184.19133034379672,1.0,114.8411214953271,749.0,corporations;financial_service_accounts;holdings;persons_with_references;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q1_q4_sf10_test_v1_param_only
q4_companies_reached_from_person_through_account_holding_listed_security__g4__deep_nested_path,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,primary,deep_nested_document,G4,Person,sf10,hot,1,fiben_exec_sf10,completed,4,4,0,1.0,662,672,722,1.0151057401812689,1.0906344410876132,True,True,True,False,False,False,False,False,False,False,COLLSCAN;EXPRESS_IXSCAN;FETCH;IXSCAN,PERSONID_1;_norm_ISHELDBY_1;_norm_SECURITYID_1,150E6C33;400A72A1;D5623B4B;D75FAEE7,36789A5E;387E2BC7;79C4EEA8;F4158575,0,123099.0,117739.0,185.95015105740185,1.0,36.447457627118645,2360.0,corporations;holdings;persons_deep_nested;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q1_q4_sf10_test_v1_param_only
q4_companies_reached_from_person_through_account_holding_listed_security__g5__shared_targets_as_references,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,primary,shared_target_reference_strategy,G5,Person,sf10,hot,1,fiben_exec_sf10,completed,5,5,0,1.0,669,679,730,1.014947683109118,1.0911808669656202,True,True,True,False,False,False,False,False,False,False,COLLSCAN;EXPRESS_IXSCAN;FETCH;IXSCAN,PERSONID_1;_norm_FINANCIALSERVICEACCOUNTID_1;_norm_ISHELDBY_1;_norm_SECURITYID_1,150E6C33;400A72A1;78862482;D5623B4B;D75FAEE7,36789A5E;387E2BC7;79C4EEA8;94214E4B;F4158575,0,123286.0,117926.0,184.28400597907324,1.0,106.0616522811344,811.0,corporations;financial_service_accounts;holdings;persons_shared_refs;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q1_q4_sf10_test_v1_param_only
q4_companies_reached_from_person_through_account_holding_listed_security__g7__update_aware_references,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,secondary_affected,update_aware_reference_design,G7,Person,sf10,hot,1,fiben_exec_sf10,completed,5,5,0,1.0,669,679,730,1.014947683109118,1.0911808669656202,True,True,True,False,False,False,False,False,False,False,COLLSCAN;EXPRESS_IXSCAN;FETCH;IXSCAN,PERSONID_1;_norm_FINANCIALSERVICEACCOUNTID_1;_norm_ISHELDBY_1;_norm_SECURITYID_1,150E6C33;400A72A1;78862482;D5623B4B;D75FAEE7,36789A5E;387E2BC7;79C4EEA8;94214E4B;F4158575,0,123296.0,117936.0,184.2989536621824,1.0,104.76979293544458,821.0,corporations;financial_service_accounts;holdings;persons_update_aware;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q1_q4_sf10_test_v1_param_only
q4_companies_reached_from_person_through_account_holding_listed_security__g9__tradeoff_benchmark_candidate,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,secondary_affected,benchmark_tradeoff_alternative,G9,Person,sf10,hot,1,fiben_exec_sf10,completed,5,5,0,1.0,669,679,730,1.014947683109118,1.0911808669656202,True,True,True,False,False,False,False,False,False,False,COLLSCAN;EXPRESS_IXSCAN;FETCH;IXSCAN,PERSONID_1;_norm_FINANCIALSERVICEACCOUNTID_1;_norm_ISHELDBY_1;_norm_SECURITYID_1,150E6C33;400A72A1;78862482;D5623B4B;D75FAEE7,36789A5E;387E2BC7;79C4EEA8;94214E4B;F4158575,0,123302.0,117942.0,184.30792227204785,1.0,104.00967351874245,827.0,corporations;financial_service_accounts;holdings;persons_tradeoff;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q1_q4_sf10_test_v1_param_only
q1_company_profile_ibm__control__normalized_reference_baseline,Q1_CompanyProfileIBM,control,normalized_reference_baseline,CONTROL,Corporation,sf1,hot,1,fiben_exec_sf1,completed,1,1,0,0.0,1,1,1,1.0,1.0,True,False,False,False,False,False,False,False,False,False,EXPRESS_IXSCAN,CORPORATIONID_1,C755DDD7,F0A16EDA,0,465.0,465.0,465.0,0.0004302925989672,0.1287806141084977,465.0,corporations_normalized_baseline,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q1_q4_sf1_test_v1
q1_company_profile_ibm__g0__root_only,Q1_CompanyProfileIBM,primary,root_only_collection,G0,Corporation,sf1,hot,1,fiben_exec_sf1,completed,1,1,0,0.0,1,1,1,1.0,1.0,True,False,False,False,False,False,False,False,False,False,EXPRESS_IXSCAN,CORPORATIONID_1,C755DDD7,F0A16EDA,0,431.0,431.0,431.0,0.0004302925989672,0.1389320912340418,431.0,corporations,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q1_q4_sf1_test_v1
q4_companies_reached_from_person_through_account_holding_listed_security__control__normalized_reference_baseline,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,control,normalized_reference_baseline,CONTROL,Person,sf1,hot,1,fiben_exec_sf1,completed,5,5,0,5.0,189,2453,190,12.97883597883598,1.0052910052910051,True,True,True,False,False,False,False,False,False,False,COLLSCAN;EXPRESS_IXSCAN;FETCH;IXSCAN,PERSONID_1;_norm_FINANCIALSERVICEACCOUNTID_1;_norm_ISHELDBY_1;_norm_SECURITYID_1,150E6C33;400A72A1;78862482;D5623B4B;D75FAEE7,36789A5E;387E2BC7;79C4EEA8;94214E4B;F4158575,0,1026532.0,50748.0,5431.386243386243,1.0,0.6492637550577733,713.0,corporations;financial_service_accounts;holdings;persons_normalized_baseline;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q1_q4_sf1_test_v1
q4_companies_reached_from_person_through_account_holding_listed_security__g2__embed_containment_children,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,primary,embedded_containment,G2,Person,sf1,hot,1,fiben_exec_sf1,completed,5,5,0,0.0,189,2453,189,12.97883597883598,1.0,True,True,True,False,False,False,False,False,False,False,COLLSCAN;EXPRESS_IXSCAN;FETCH;IXSCAN,PERSONID_1;_norm_ISHELDBY_1;_norm_ISOWNEDBY_1;_norm_SECURITYID_1,150E6C33;400A72A1;A4A8C3CE;D5623B4B;D75FAEE7,36789A5E;387E2BC7;79C4EEA8;CF2868AF;F4158575,0,1026414.0,50630.0,5430.761904761905,1.0,0.6492637550577733,595.0,corporations;financial_service_accounts;holdings;persons_with_containment;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q1_q4_sf1_test_v1
q4_companies_reached_from_person_through_account_holding_listed_security__g3__association_references,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,primary,association_references,G3,Person,sf1,hot,1,fiben_exec_sf1,completed,5,5,0,0.0,189,2453,190,12.97883597883598,1.0052910052910051,True,True,True,False,False,False,False,False,False,False,COLLSCAN;EXPRESS_IXSCAN;FETCH;IXSCAN,PERSONID_1;_norm_FINANCIALSERVICEACCOUNTID_1;_norm_ISHELDBY_1;_norm_SECURITYID_1,150E6C33;400A72A1;78862482;D5623B4B;D75FAEE7,36789A5E;387E2BC7;79C4EEA8;94214E4B;F4158575,0,1026471.0,50687.0,5431.063492063492,1.0,0.6492637550577733,652.0,corporations;financial_service_accounts;holdings;persons_with_references;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q1_q4_sf1_test_v1
q4_companies_reached_from_person_through_account_holding_listed_security__g4__deep_nested_path,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,primary,deep_nested_document,G4,Person,sf1,hot,1,fiben_exec_sf1,completed,4,4,0,0.0,182,2446,182,13.43956043956044,1.0,True,True,True,False,False,False,False,False,False,False,COLLSCAN;EXPRESS_IXSCAN;FETCH;IXSCAN,PERSONID_1;_norm_ISHELDBY_1;_norm_SECURITYID_1,150E6C33;400A72A1;D5623B4B;D75FAEE7,36789A5E;387E2BC7;79C4EEA8;F4158575,0,1025218.0,49434.0,5633.065934065934,1.0,0.6492637550577733,1135.0,corporations;holdings;persons_deep_nested;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q1_q4_sf1_test_v1
q4_companies_reached_from_person_through_account_holding_listed_security__g5__shared_targets_as_references,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,primary,shared_target_reference_strategy,G5,Person,sf1,hot,1,fiben_exec_sf1,completed,5,5,0,0.0,189,2453,190,12.97883597883598,1.0052910052910051,True,True,True,False,False,False,False,False,False,False,COLLSCAN;EXPRESS_IXSCAN;FETCH;IXSCAN,PERSONID_1;_norm_FINANCIALSERVICEACCOUNTID_1;_norm_ISHELDBY_1;_norm_SECURITYID_1,150E6C33;400A72A1;78862482;D5623B4B;D75FAEE7,36789A5E;387E2BC7;79C4EEA8;94214E4B;F4158575,0,1026533.0,50749.0,5431.391534391534,1.0,0.6492637550577733,714.0,corporations;financial_service_accounts;holdings;persons_shared_refs;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q1_q4_sf1_test_v1
q4_companies_reached_from_person_through_account_holding_listed_security__g7__update_aware_references,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,secondary_affected,update_aware_reference_design,G7,Person,sf1,hot,1,fiben_exec_sf1,completed,5,5,0,0.0,189,2453,190,12.97883597883598,1.0052910052910051,True,True,True,False,False,False,False,False,False,False,COLLSCAN;EXPRESS_IXSCAN;FETCH;IXSCAN,PERSONID_1;_norm_FINANCIALSERVICEACCOUNTID_1;_norm_ISHELDBY_1;_norm_SECURITYID_1,150E6C33;400A72A1;78862482;D5623B4B;D75FAEE7,36789A5E;387E2BC7;79C4EEA8;94214E4B;F4158575,0,1026543.0,50759.0,5431.444444444444,1.0,0.6492637550577733,724.0,corporations;financial_service_accounts;holdings;persons_update_aware;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q1_q4_sf1_test_v1
q4_companies_reached_from_person_through_account_holding_listed_security__g9__tradeoff_benchmark_candidate,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,secondary_affected,benchmark_tradeoff_alternative,G9,Person,sf1,hot,1,fiben_exec_sf1,completed,5,5,0,0.0,189,2453,190,12.97883597883598,1.0052910052910051,True,True,True,False,False,False,False,False,False,False,COLLSCAN;EXPRESS_IXSCAN;FETCH;IXSCAN,PERSONID_1;_norm_FINANCIALSERVICEACCOUNTID_1;_norm_ISHELDBY_1;_norm_SECURITYID_1,150E6C33;400A72A1;78862482;D5623B4B;D75FAEE7,36789A5E;387E2BC7;79C4EEA8;94214E4B;F4158575,0,1026549.0,50765.0,5431.476190476191,1.0,0.6492637550577733,730.0,corporations;financial_service_accounts;holdings;persons_tradeoff;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q1_q4_sf1_test_v1
q1_company_profile_ibm__control__normalized_reference_baseline,Q1_CompanyProfileIBM,control,normalized_reference_baseline,CONTROL,Corporation,sf30,hot,1,fiben_exec_sf30,completed,1,1,0,1.0,1,1,1,1.0,1.0,True,False,False,False,False,False,False,False,False,False,EXPRESS_IXSCAN,CORPORATIONID_1,C755DDD7,F0A16EDA,0,573.0,573.0,573.0,0.0333333333333333,5.0003487966515525,573.0,corporations_normalized_baseline,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q1_q4_sf30_test_v1_param_only
