scale_label,query_name,candidate_id,final_benchmark_group,g_class,design_pattern,execution_status,n_components,sum_n_returned,sum_total_docs_examined,sum_total_keys_examined,has_IXSCAN,has_COLLSCAN,has_GROUP,sum_estimated_docs_examined_bytes,max_collection_avg_obj_size_bytes,collections_touched,source_results_dir
sf1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,q4_companies_reached_from_person_through_account_holding_listed_security__g5__shared_targets_as_references,primary,G5,shared_target_reference_strategy,completed,5,189,2453,190,True,True,False,1026533.0,714.0,corporations;financial_service_accounts;holdings;persons_shared_refs;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q1_q4_sf1_test_v1
sf1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,q4_companies_reached_from_person_through_account_holding_listed_security__g7__update_aware_references,secondary_affected,G7,update_aware_reference_design,completed,5,189,2453,190,True,True,False,1026543.0,724.0,corporations;financial_service_accounts;holdings;persons_update_aware;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q1_q4_sf1_test_v1
sf1,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,q4_companies_reached_from_person_through_account_holding_listed_security__g9__tradeoff_benchmark_candidate,secondary_affected,G9,benchmark_tradeoff_alternative,completed,5,189,2453,190,True,True,False,1026549.0,730.0,corporations;financial_service_accounts;holdings;persons_tradeoff;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q1_q4_sf1_test_v1
sf1,Q5_ReportsAndMetricDataOfCompany,q5_reports_and_metric_data_of_company__control__normalized_reference_baseline,control,CONTROL,normalized_reference_baseline,completed,4,6742,6742,8311,True,False,False,1065932.0,816.0,corporations_normalized_baseline;report_elements;reports;statement_elements,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q5_sf1_test_v1_param_only
sf1,Q5_ReportsAndMetricDataOfCompany,q5_reports_and_metric_data_of_company__g2__embed_containment_children,primary,G2,embedded_containment,completed,3,6718,6718,8263,True,False,False,1065427.0,4511.0,corporations_with_containment;report_elements;statement_elements,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q5_sf1_test_v1_param_only
sf1,Q5_ReportsAndMetricDataOfCompany,q5_reports_and_metric_data_of_company__g4__deep_nested_path,primary,G4,deep_nested_document,completed,3,6718,6718,8263,True,False,False,1065417.0,4501.0,corporations_deep_nested;report_elements;statement_elements,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q5_sf1_test_v1_param_only
sf1,Q5_ReportsAndMetricDataOfCompany,q5_reports_and_metric_data_of_company__g9__tradeoff_benchmark_candidate,secondary_affected,G9,benchmark_tradeoff_alternative,completed,4,6742,6742,8311,True,False,False,1065927.0,811.0,corporations_tradeoff;report_elements;reports;statement_elements,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q5_sf1_test_v1_param_only
sf1,Q6_TechUSListedSecuritiesWithHighLastTradedValue,q6_tech_uslisted_securities_with_high_last_traded_value__control__normalized_reference_baseline,control,CONTROL,normalized_reference_baseline,completed,6,5062,5514,5301,True,True,False,1062924.0,581.0,corporations;countries;industries;listed_securities;listed_securitys_normalized_baseline;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q6_q9_sf1_test_v1
sf1,Q6_TechUSListedSecuritiesWithHighLastTradedValue,q6_tech_uslisted_securities_with_high_last_traded_value__g1__embed_descriptors,primary,G1,embedded_descriptors,completed,6,5062,5514,5301,True,True,False,1058824.0,540.0,corporations;countries;industries;listed_securities;listed_securitys_with_descriptors;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q6_q9_sf1_test_v1
sf1,Q6_TechUSListedSecuritiesWithHighLastTradedValue,q6_tech_uslisted_securities_with_high_last_traded_value__g3__association_references,primary,G3,association_references,completed,6,5062,5514,5301,True,True,False,1057424.0,526.0,corporations;countries;industries;listed_securities;listed_securitys_with_references;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q6_q9_sf1_test_v1
sf1,Q6_TechUSListedSecuritiesWithHighLastTradedValue,q6_tech_uslisted_securities_with_high_last_traded_value__g5__shared_targets_as_references,primary,G5,shared_target_reference_strategy,completed,6,5062,5514,5301,True,True,False,1065624.0,608.0,corporations;countries;industries;listed_securities;listed_securitys_shared_refs;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q6_q9_sf1_test_v1
sf1,Q6_TechUSListedSecuritiesWithHighLastTradedValue,q6_tech_uslisted_securities_with_high_last_traded_value__g7__update_aware_references,secondary_affected,G7,update_aware_reference_design,completed,6,5062,5514,5301,True,True,False,1065624.0,608.0,corporations;countries;industries;listed_securities;listed_securitys_update_aware;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q6_q9_sf1_test_v1
sf1,Q6_TechUSListedSecuritiesWithHighLastTradedValue,q6_tech_uslisted_securities_with_high_last_traded_value__g9__tradeoff_benchmark_candidate,secondary_affected,G9,benchmark_tradeoff_alternative,completed,6,5062,5514,5301,True,True,False,1065424.0,606.0,corporations;countries;industries;listed_securities;listed_securitys_tradeoff;securities,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q6_q9_sf1_test_v1
sf1,Q7_PersonsWhoBoughtMoreIBMThanSold,q7_persons_who_bought_more_ibmthan_sold__control__normalized_reference_baseline,control,CONTROL,normalized_reference_baseline,completed,3,359,359,359,True,False,True,125789.0,351.0,securities;transactions,/home/hudson/Documents/framework_test/fiben/analysis/query_plan_q6_q9_sf1_test_v1
